COUNTRY_NAME,GEM_PGA_mean,GEM_PGA_median,log_GEM_PGA
"Korea, Rep.",0.14371236029957626,0.13192354784814153,0.13427942803838722
Lao PDR,0.10017776309671939,0.06866566500016923,0.09547176956319597
Lebanon,0.3739113004867597,0.35827713056414345,0.31766163602985736
Liberia,0.014024283307125148,0.010269016523473628,0.013926852916882003
St. Lucia,0.4032001751004168,0.404840200002475,0.33875546742227375
Sri Lanka,0.02670606045886537,0.024139034285881607,0.026355678158058574
Lesotho,0.034827141143299004,0.03583244001658439,0.03423439938092653
Lithuania,0.015363397995581243,0.014257453676352786,0.015246575999023078
Luxembourg,0.030090817030517955,0.029381365511105588,0.02964697022892245
Latvia,0.01887034984555614,0.0172845,0.01869451341329116
Morocco,0.09671884928266783,0.08782481068732438,0.09232285790966287
Moldova,0.15940539670931117,0.14094113308869505,0.14790728465590106
Madagascar,0.04816008165097694,0.044248212273542226,0.047036323900770644
Mexico,0.15176630999388266,0.0552353894105108,0.14129668578756885
North Macedonia,0.2480929165067729,0.22007062295699653,0.22161671950494377
Mali,0.0018923804958655846,0.0,0.0018905921996308721
Myanmar,0.23306356547327917,0.21213306446469127,0.20950177635968004
Montenegro,0.17936193009873805,0.15714883954986125,0.16497355502202732
Mongolia,0.10495733706597248,0.09789965499947456,0.09980672523429975
Mozambique,0.06914065076010525,0.04679862826863751,0.06685519566128673
Mauritania,0.010161601796399083,0.0,0.010110319832861672
Malawi,0.14898523997777813,0.1511771791884426,0.13887915281176563
Malaysia,0.038489351143132455,0.03820014999995752,0.037767110206475774
Namibia,0.022245538993040312,0.024447934999999997,0.02200171634312974
Niger,0.0,0.0,0.0
Nigeria,0.003009669199387083,0.0,0.003005149211882721
Nicaragua,0.27499670354694455,0.19651656246073607,0.24294359315367037
Netherlands,0.021101947082422738,0.015108539968391248,0.020882384425468588
Norway,0.011087793795337461,0.009864776136945738,0.011026774839139766
Nepal,0.37433875127860766,0.3787499057005609,0.3179727072841053
Pakistan,0.2574986736755658,0.2515927,0.22912456826004057
Panama,0.3241392773660053,0.27169179999999543,0.2807626463674755
Peru,0.33964733479562736,0.35413709999999343,0.2924063963357619
Philippines,0.49497437899924307,0.49388860000000007,0.40210906890264764
Poland,0.01010992434688275,0.009022595755820371,0.010059160917974368
Portugal,0.12362896171422984,0.1206432366666621,0.11656359173832201
Paraguay,0.01600744808676935,0.009119485180068786,0.01588067992348433
West Bank and Gaza,0.26171557669028306,0.22924020000000003,0.2324723636709296
Qatar,0.00921776360745643,0.008415571240809591,0.00917553930193137
Romania,0.20412323335725419,0.157664728095678,0.185751694935645
Russian Federation,0.03250246133922238,0.009161363990547476,0.03198542971386301
Rwanda,0.1358509842031076,0.13186904979154287,0.12738213581710559
Sudan,0.0004964696365585511,0.0,0.0004963464362836493
Senegal,0.008989657496018493,0.008168125727673368,0.008949491067221654
Solomon Islands,0.8022908588565835,0.777006637970904,0.5890585550715532
Sierra Leone,0.019100216563557145,0.017944941927831696,0.018920097357205342
El Salvador,0.5936540672120457,0.6084542974622398,0.4660295349910669
Serbia,0.13238771100582508,0.13701480590929663,0.12432842202948906
Suriname,0.0026797072825123524,0.0,0.0026761232682640163
Slovak Republic,0.05736819826180455,0.049601016955632835,0.05578298895725876
Slovenia,0.20507793551411793,0.20207540139934582,0.18654424162636746
Sweden,0.014735813101052837,0.013720000281974967,0.014628295955279163
Eswatini,0.02801483602612393,0.026840030000000008,0.027629598860861207
Chad,0.0,0.0,0.0
Togo,0.017874300549974433,0.012363771375969546,0.01771643363800531
Thailand,0.04120747140766131,0.03416685000393281,0.04038106987862564
Tajikistan,0.29667237491844606,0.2720240861138119,0.25980127120328494
Timor-Leste,0.28792359433274406,0.27322179253359186,0.2530313047523619
Tonga,0.8346275548106167,0.8580163976921525,0.6068414935002037
Tunisia,0.10015645018022411,0.12321149894104458,0.0954523971275293
Tanzania,0.11094736029204169,0.1030564499995279,0.10521312905979277
Uganda,0.08371001737855444,0.04251114894981295,0.08039035558643227
Ukraine,0.03766872008054284,0.03467579494052101,0.03697658166560921
Uruguay,0.00023066898564145624,0.0,0.0002306423856414392
United States,0.08816235470623177,0.04648581173227018,0.0844903603766759
Uzbekistan,0.07147470165838725,0.02806747743988476,0.0690359254412781
Vanuatu,1.1923434011068026,1.26786011147157,0.784971017904572
Samoa,0.13135855941972197,0.116642,0.12341917555566748
South Africa,0.030919323773663798,0.022011380000079465,0.030450951511081972
Zambia,0.06770048289354427,0.04847739506333838,0.06550725447657413
Zimbabwe,0.15425109891288769,0.14716875555080852,0.14345173446245707
